prefecture,sample_size,smoking_rate,ci_lower,ci_upper
北海道,239.0,39.51,34.277,44.742
青森県,357.0,39.58,34.862,44.288
岩手県,292.0,39.03,34.327999999999996,43.724000000000004
宮城県,343.0,31.64,24.779999999999998,38.509
秋田県,339.0,37.269999999999996,29.378999999999998,45.161
山形県,423.0,36.36,29.676000000000002,43.047999999999995
福島県,318.0,39.7,34.098,45.296
茨城県,481.0,32.47,28.389999999999997,36.553000000000004
栃木県,444.0,36.32,29.799,42.838
群馬県,434.0,33.03,28.636,37.424
埼玉県,312.0,29.349999999999998,24.301000000000002,34.402
千葉県,297.0,34.06,27.35,40.77
東京都,234.0,33.64,24.942,42.331
神奈川県,246.0,24.990000000000002,20.559,29.413
新潟県,372.0,34.61,31.453999999999997,37.769999999999996
富山県,299.0,30.070000000000004,23.219,36.927
石川県,239.0,36.54,29.253,43.823
福井県,278.0,33.18,27.038,39.318
山梨県,333.0,30.759999999999998,25.696,35.821999999999996
長野県,431.0,32.76,27.217999999999996,38.305
岐阜県,277.0,38.86,33.355000000000004,44.373000000000005
静岡県,327.0,36.96,30.44,43.485
愛知県,176.0,35.04,30.775999999999996,39.309
三重県,240.0,35.02,28.625,41.419
滋賀県,220.0,27.0,21.414,32.578
京都府,224.0,28.03,22.679,33.375
大阪府,212.0,34.31,29.282999999999998,39.332
兵庫県,239.0,32.76,27.326,38.185
奈良県,273.0,26.939999999999998,21.081,32.792
和歌山県,244.0,31.55,24.723,38.385000000000005
鳥取県,306.0,33.0,27.601,38.396
島根県,281.0,32.98,27.057,38.909
岡山県,285.0,38.81,28.469,49.158
広島県,244.0,32.519999999999996,26.895000000000003,38.147999999999996
山口県,267.0,33.2,27.116,39.290000000000006
徳島県,231.0,32.51,25.15,39.879
香川県,317.0,33.83,26.697,40.97
愛媛県,260.0,28.939999999999998,24.606,33.271
高知県,267.0,34.589999999999996,31.531,37.653
福岡県,305.0,36.66,32.007999999999996,41.319
佐賀県,270.0,39.14,34.272000000000006,44.007000000000005
長崎県,253.0,32.31,26.529999999999998,38.096000000000004
熊本県,359.0,38.53,33.28,43.775
大分県,332.0,32.800000000000004,25.737,39.866
宮崎県,211.0,33.28,25.791999999999998,40.766999999999996
鹿児島県,233.0,29.549999999999997,23.774,35.325
沖縄県,332.0,34.37,27.836,40.908
